Park,Restaurant,Item,Price,Details,Ratings,Review_Count,Image_URL
Islands of Adventure,CAFE4,Whole Cheese Pizza,$38.99 ,"mozzarella, tomato sauce, house-made dough",,,
Islands of Adventure,CAFE4,Chicken Caesar Salad Combo,$19.49 ,"roasted chicken breast, romaine lettuce, Caesar dressing, croutons, parmesan cheese, garlic knot, served with a fountain drink",,,
Islands of Adventure,CAFE4,Chicken Caesar Salad Platter,$14.99 ,"roasted chicken breast, romaine lettuce, Caesar dressing, croutons, parmesan cheese, garlic knot",,,
Islands of Adventure,CAFE4,Side Caesar Salad,$6.99 ,"romaine lettuce, Caesar dressing, croutons, parmesan cheese",,,
Islands of Adventure,CAFE4,Garlic Knots With Marinara,$4.99 ,"house-made dough, garlic herb butter, marinara sauce",,,
Islands of Adventure,CAFE4,S'mores Cookie,$6.29 ,"chocolate chips, toasted marshmallow and graham cracker crumbs",,,
Islands of Adventure,CAFE4,Superhero Cheesecake Cup,$9.99 ,"layered NY cheesecake, cake crumbles, whipped topping, mixed berry compote, topped with macaron shield",,,
Islands of Adventure,CAFE4,Watermelon Bowl,$6.29 ,,,,
Islands of Adventure,CAFE4,Pineapple Bowl,$6.29 ,,,,
Islands of Adventure,CAFE4,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,
Islands of Adventure,CAFE4,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,
Islands of Adventure,CAFE4,Fountain Drinks,$4.79 ,"Coca Cola, Coke Zero Sugar, Diet Coke, Sprite, Lemonade, Gold Peak Iced Tea",,,
Islands of Adventure,CAFE4,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,CAFE4,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,CAFE4,Minute Maid Juice,$4.29 ,"apple, orange",,,
Islands of Adventure,CAFE4,Bottled Milk,$4.49 ,"2%, chocolate",,,
Islands of Adventure,CAFE4,Hot Drinks,$4.79 ,"coffee, decaf, hot cocoa, hot tea",,,
Islands of Adventure,CAFE4,Draft Beer,$11.50 ,Modelo - $12.50Michelob Ultra/Yuengling - $11.50,,,
Islands of Adventure,CAFE4,Souvenir Pilsner,$14.50 ,Modelo - $15.50Michelob Ultra/Yuengling - $14.50,,,
Islands of Adventure,CAFE4,Canned Beer,$10.75 ,Miller Lite - $10.75Athletic Brewing - $10.75,,,
Islands of Adventure,CAFE4,High Noon Pineapple Seltzer,$13.00 ,,,,
Islands of Adventure,DR. SUGRUE,Mediterranean Beef Kebab Bowl Combo,$20.49 ,"chermoula marinade, romaine lettuce, red onions, cucumbers, tomatoes, kalamata olives, feta cheese, ajvar sauce, pita bread and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,DR. SUGRUE,Mediterranean Chicken Kebab Bowl Combo,$19.49 ,"chermoula marinade, romaine lettuce, red onions, cucumbers, tomatoes, kalamata olives, feta cheese, ajvar sauce, pita bread and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,DR. SUGRUE,Mediterranean Vegan Meatball Kebab Bowl Combo,$14.99 ,"chermoula marinade, romaine lettuce, red onions, cucumbers, tomatoes, kalamata olives, feta cheese, ajvar sauce, pita bread and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,DR. SUGRUE,Greek Salad Combo,$15.49 ,"romaine lettuce, red onions, cucumbers, tomatoes, kalamata olives, feta cheese, ajvar sauce, Greek dressing, pita bread and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,DR. SUGRUE,Greek Salad,$10.99 ,"romaine lettuce, red onions, cucumbers, tomatoes, kalamata olives, feta cheese, ajvar sauce, Greek dressing, pita bread",,,
Islands of Adventure,DR. SUGRUE,Hummus,$5.29 ,"garbanzo purée, garlic, lemon, tahini and pita chips",,,
Islands of Adventure,DR. SUGRUE,Dubai Chocolate Brownie,$7.49 ,"fudge brownie, pistachio cream, toasted kataifi, chocolate ganache",,,
Islands of Adventure,DR. SUGRUE,Chips,$4.99 ,"choice of plain, garlic parmesan or cinnamon sugar pita chips",,,
Islands of Adventure,DR. SUGRUE,Single Serve Coca-Cola Freestyle® cup,$4.79 ,Enjoy more than 100 drink choices with the Coca-Cola Freestyle® single-serve cup.,,,
Islands of Adventure,DR. SUGRUE,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,DR. SUGRUE,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,DR. SUGRUE,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,
Islands of Adventure,DR. SUGRUE,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,
Islands of Adventure,DR. SUGRUE,Miller Lite,$10.75 ,,,,
Islands of Adventure,DR. SUGRUE,Michelob Ultra,$10.75 ,,,,
Islands of Adventure,DR. SUGRUE,Modelo,$11.75 ,,,,
Islands of Adventure,DR. SUGRUE,High Noon Pineapple Seltzer,$13.00 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Wellington Double Stack Cheeseburger Combo,$25.99 ,"2 each 5.3 oz grilled Angus beef patties, Cheddar cheese, tomato, lettuce, pickle, onions, special sauce, served with French fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Wellington Double Stack Cheeseburger Platter,$21.49 ,"2 each 5.3 oz grilled Angus beef patties, Cheddar cheese, tomato, lettuce, pickle, onions, special sauce, served with French fries",,,
Islands of Adventure,COMIC STRIP CAFE,Golden BBQ Pulled Pork Sandwich Combo,$22.99 ,"smoked gouda and cheddar sauce, citrus slaw, everything pretzel roll, served with French fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Golden BBQ Pulled Pork Sandwich Platter,$18.49 ,"smoked gouda and cheddar sauce, slaw with citrus vinaigrette on an everything pretzel roll, served with French fries",,,
Islands of Adventure,COMIC STRIP CAFE,Grilled Tuscan Chicken Sandwich Combo,$20.49 ,"toasted focaccia, provolone, mozzarella, arugula, tomato, sun-dried tomato aioli, served with fries and a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Grilled Tuscan Chicken Sandwich Platter,$15.99 ,"toasted focaccia, provolone, mozzarella, arugula, tomato, sun-dried tomato aioli, served with fries",,,
Islands of Adventure,COMIC STRIP CAFE,Jumbo Pepperoni Pizza Combo,$23.49 ,"pepperoni, tomato sauce, mozzarella cheese, side Caesar salad, served with a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Jumbo Pepperoni Pizza Platter,$18.99 ,"pepperoni, tomato sauce, mozzarella cheese, side Caesar salad",,,
Islands of Adventure,COMIC STRIP CAFE,Jumbo Cheese Pizza Combo,$22.49 ,"tomato sauce, mozzarella cheese, side Caesar salad, served with a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Jumbo Cheese Pizza Platter,$17.99 ,"tomato sauce, mozzarella cheese, side Caesar salad",,,
Islands of Adventure,COMIC STRIP CAFE,Grilled Tuscan Chicken Caesar Salad Combo,$19.49 ,"seasoned grilled breast, romaine lettuce, Caesar dressing, crisp croutons, parmesan cheese served with a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Grilled Tuscan Chicken Caesar Salad,$14.99 ,"seasoned grilled breast, romaine lettuce, Caesar dressing, crisp croutons, parmesan cheese",,,
Islands of Adventure,COMIC STRIP CAFE,Crispy Orange Chicken Combo,$23.49 ,"steamed broccoli, rice, scallions, orange chili glaze, toasted sesame seeds, served with a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Crispy Orange Chicken,$18.99 ,"steamed broccoli, rice, scallions, orange chili glaze, toasted sesame seeds",,,
Islands of Adventure,COMIC STRIP CAFE,Crispy Orange Tofu Combo,$23.49 ,"steamed broccoli, rice, scallions, orange chili glaze, toasted sesame seeds, served with a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Crispy Orange Tofu,$18.99 ,"steamed broccoli, rice, scallions, orange chili glaze, toasted sesame seeds",,,
Islands of Adventure,COMIC STRIP CAFE,Teriyaki BBQ Stir Fry Combo,$24.49 ,"wok seared marinated beef, stir fry vegetables, steamed rice, scallions, soy garlic ginger sauce, toasted sesame seeds, served with a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Teriyaki BBQ Stir Fry,$19.99 ,"wok seared marinated beef, stir fry vegetables, steamed rice, scallions, soy garlic ginger sauce, toasted sesame seeds",,,
Islands of Adventure,COMIC STRIP CAFE,Chicken Tikka Masala Combo,$23.49 ,"spiced chicken thigh, steamed rice, cilantro, cucumber riata, garlic naan bread, served with a single serve Coca-Cola Freestyle® cup",,,
Islands of Adventure,COMIC STRIP CAFE,Chicken Tikka Masala,$18.99 ,"spiced chicken thigh, steamed rice, cilantro, cucumber riata, garlic naan bread",,,
Islands of Adventure,COMIC STRIP CAFE,French Fries,$5.49 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Crispy Onion Rings,$6.49 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Steamed Rice,$5.49 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Garlic Knots,$4.99 ,"house made dough, garlic herb butter, marinara sauce",,,
Islands of Adventure,COMIC STRIP CAFE,Classic Caesar Salad,$6.99 ,"romaine lettuce, Caesar dressing, crisp croutons, parmesan cheese",,,
Islands of Adventure,COMIC STRIP CAFE,Warm Chocolate Peanut Butter Cookie Sundae,$9.49 ,"fresh baked peanut butter cookie, chocolate ice cream, chopped peanuts",,,
Islands of Adventure,COMIC STRIP CAFE,Pineapple Bowl,$6.29 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Watermelon Bowl,$6.29 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Chocolate Chip Cookie,$5.29 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,
Islands of Adventure,COMIC STRIP CAFE,Extra day of refills for Freestyle® Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,
Islands of Adventure,COMIC STRIP CAFE,Single Serve Coca-Cola Freestyle® cup,$4.79 ,Enjoy more than 100 drink choices with the Coca-Cola Freestyle® single-serve cup.,,,
Islands of Adventure,COMIC STRIP CAFE,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,COMIC STRIP CAFE,Minute Maid Juice,$3.99 ,"apple, orange",,,
Islands of Adventure,COMIC STRIP CAFE,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Hot Beverages,$4.79 ,"coffee, decaf, hot cocoa, hot tea",,,
Islands of Adventure,COMIC STRIP CAFE,Draft Beer,$11 ,"Yuengling, Michelob ULTRA, Miller Lite $11.50Modelo $12.50",,,
Islands of Adventure,COMIC STRIP CAFE,Souvenir Pilsner,$11.50 ,"Yuengling, Michelob ULTRA, Miller Lite $11.50Modelo $15.50",,,
Islands of Adventure,COMIC STRIP CAFE,High Noon Pineapple Seltzer,$13.00 ,,,,
Islands of Adventure,COMIC STRIP CAFE,Athletic Brewing Co.®,$10.75 ,,,,
Islands of Adventure,DAGWOOD'S,Dagwood Sandwich Combo,$19.49 ,"ham, roast beef, turkey, pimento cheese spread, aged Swiss, special sauce, lettuce, tomato, shaved red onion, onion poppy roll",,,
Islands of Adventure,DAGWOOD'S,Dagwood Sandwich Platter,$14.99 ,"ham, roast beef, turkey, pimento cheese spread, aged Swiss, special sauce, lettuce, tomato, shaved red onion, onion poppy roll",,,
Islands of Adventure,DAGWOOD'S,Mr. Julius Caesar Dithers Chopped Italian Sandwich Combo,$18.49 ,"pepperoni, salami, soppressata, capicola provolone cheese, pepperoncini, tomato, roasted red peppers, red onions, chopped lettuce, pesto vinaigrette, crusty bread",,,
Islands of Adventure,DAGWOOD'S,Mr. Julius Caesar Dithers Chopped Italian Sandwich,$13.99 ,"pepperoni, salami, soppressata, capicola provolone cheese, pepperoncini, tomato, roasted red peppers, red onions, chopped lettuce, pesto vinaigrette, crusty bread",,,
Islands of Adventure,DAGWOOD'S,Lou's BBQ Pork Slider Combo,$19.49 ,"slow smoked pork, pickled onions, roasted tomato aioli, gouda cheese, golden BBQ sauce, arugula, pretzel roll",,,
Islands of Adventure,DAGWOOD'S,Lou's BBQ Pork Slider Platter,$14.99 ,"slow smoked pork, pickled onions, roasted tomato aioli, gouda cheese, golden BBQ sauce, arugula, pretzel roll",,,
Islands of Adventure,DAGWOOD'S,Mac and Cheese Cheeseburger Combo,$19.49 ,"cavatappi pasta, white cheddar, gouda cheese sauce, cooked burger, diced pickle relish, diced red onion, diced tomato and red pepper aioli",,,
Islands of Adventure,DAGWOOD'S,Mac and Cheese Cheeseburger,$14.99 ,"cavatappi pasta, white cheddar, gouda cheese sauce, cooked burger, diced pickle relish, diced red onion, diced tomato and red pepper aioli",,,
Islands of Adventure,DAGWOOD'S,Mac and Cheese Pulled Pork Combo,$19.49 ,"cavatappi pasta, slow smoked pork, white cheddar gouda cheese sauce, parmesan herb crumb, golden BBQ sauce, scallions",,,
Islands of Adventure,DAGWOOD'S,Mac and Cheese Pulled Pork,$14.99 ,"cavatappi pasta, slow smoked pork, white cheddar gouda cheese sauce, parmesan herb crumb, golden BBQ sauce, scallions",,,
Islands of Adventure,DAGWOOD'S,Mac and Cheese Combo,$17.49 ,"cavatappi pasta, white cheddar gouda cheese sauce",,,
Islands of Adventure,DAGWOOD'S,Mac and Cheese,$12.99 ,"cavatappi pasta, white cheddar gouda cheese sauce",,,
Islands of Adventure,DAGWOOD'S,Smore's Cookie,$6.29 ,"warm baked with chocolate chunks, marshmallows, crumbled graham crackers",,,
Islands of Adventure,DAGWOOD'S,Chocolate Chip Cookie,$5.29 ,,,,
Islands of Adventure,DAGWOOD'S,Pineapple Bowl,$6.29 ,,,,
Islands of Adventure,DAGWOOD'S,Watermelon Bowl,$6.29 ,,,,
Islands of Adventure,DAGWOOD'S,Southern Red Bliss Potato Salad,$2.99 ,,,,
Islands of Adventure,DAGWOOD'S,Creamy Coleslaw,$2.79 ,,,,
Islands of Adventure,DAGWOOD'S,Chips,$4.99 ,,,,
Islands of Adventure,DAGWOOD'S,Colossal Kosher Dill Pickle,$2.39 ,,,,
Islands of Adventure,DAGWOOD'S,Coca-Cola Freestyle® Souvenir Cup,$19.99 ,"Enjoy more than 100 drink choices and refills thru the day* with the Coca-Cola Freestyle® souvenir cup. Get 3–6 souvenir cups for $15.99 each, 2 for $17.99 each, or 1 for $19.99 at participating Coca-Cola Freestyle® locations.*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.",,,
Islands of Adventure,DAGWOOD'S,Extra day of refills for Coca-Cola freestyle® Souvenir Cup,$12.99 ,Add an extra day of refills thru the day* to your previously purchased Coca-Cola Freestyle® Souvenir Cup*Valid Coca-Cola Freestyle® Souvenir Cup required to dispense Coca-Cola Freestyle®. Refills are limited to no more than one (1) pour from the Coca-Cola Freestyle® machine per 10 minutes and valid day of purchase only. Sharing is not permitted. Additional restrictions may apply which are subject to change without notice.,,,
Islands of Adventure,DAGWOOD'S,Fountain Soda,$4.79 ,"Coca-Cola, Coke Zero Sugar, Diet Coke, Sprite, Minute Maid Lemonade",,,
Islands of Adventure,DAGWOOD'S,Powerade,$5.05 ,"Fruit Punch, Mountain Berry Blast",,,
Islands of Adventure,DAGWOOD'S,Premium Bottled Water,$6.00 ,,,,
Islands of Adventure,DAGWOOD'S,Milk,$4.29 ,choice of 2% or chocolate,,,
Islands of Adventure,DAGWOOD'S,Coffee,$4.79 ,,,,
Islands of Adventure,DAGWOOD'S,Bottled Beer,$11.75 ,"Mich Ultra, Miller Lite, Sierra Nevada® Hazy Little Thing, Modelo Especial 11.75",,,
Islands of Adventure,DAGWOOD'S,High Noon Pineapple Seltzer,$13.00 ,,,,
Cabana Bay,Bayliner Diner,"Bacon, Egg & Cheese Croissant",$11.25,Served with choice of breakfast potatoes or fresh fruit,,,
Cabana Bay,Bayliner Diner,Flatbread Wrap,$11.00,"Scrambled eggs, jalapeño jack cheese, peppers and tomatoes",,,
Cabana Bay,Bayliner Diner,Smoked Salmon Bagel,$12.75,"Bagel with smoked salmon, cream cheese, onions and capers",,,
Cabana Bay,Bayliner Diner,Belgian Waffle,$13.00,"Maple syrup, strawberries and whipped cream",,,
Cabana Bay,Bayliner Diner,Jumbo Buttermilk Pancakes,$13.00,Maple syrup and choice of one side item,,,
Cabana Bay,Bayliner Diner,Create Your Own Omelet,$14.00,"Onions, Tomatoes, Spinach, Mushrooms, Ham, Peppers, Cheeses, and Bacon",,,
